Jour;Population herbivores;Population carnivores
452;27.8403;25.9252;
453;28.5106;25.3681;
454;29.2129;24.8407;
455;29.9478;24.3426;
456;30.7162;23.8732;
457;31.5187;23.432;
458;32.3561;23.0186;
459;33.2291;22.6325;
460;34.1385;22.2736;
461;35.0851;21.9413;
462;36.0695;21.6357;
463;37.0926;21.3564;
464;38.1551;21.1035;
465;39.2576;20.8768;
466;40.4009;20.6764;
467;41.5856;20.5024;
468;42.8123;20.355;
469;44.0815;20.2346;
470;45.3936;20.1413;
471;46.749;20.0759;
472;48.1479;20.0387;
473;49.5905;20.0305;
474;51.0767;20.052;
475;52.6063;20.1043;
476;54.179;20.1883;
477;55.7942;20.3053;
478;57.451;20.4566;
479;59.1483;20.6437;
480;60.8846;20.8684;
481;62.6583;21.1326;
482;64.4671;21.4383;
483;66.3084;21.7879;
484;68.1791;22.184;
485;70.0755;22.6294;
486;71.9936;23.1271;
487;73.9282;23.6805;
488;75.874;24.2932;
489;77.8245;24.9691;
490;79.7725;25.7125;
491;81.71;26.5279;
492;83.6279;27.4199;
493;85.5162;28.3938;
494;87.3639;29.4547;
495;89.1588;30.6081;
496;90.8877;31.8596;
497;92.5365;33.2148;
498;94.0897;34.6792;
499;95.5313;36.2582;
